date,country,daily_hits
20180112,AE,4
20180111,AE,5
20180110,AE,2
20180109,AE,3
20180108,AE,2
20180107,AE,2
20180106,AE,4
20180105,AE,8
20180104,AE,4
20180103,AE,6
20180102,AE,5
20180101,AE,5
20180112,BR,1
20180111,BR,2
20180110,BR,1
20180109,BR,1
20180108,BR,1
20180107,BR,2
20180105,BR,1
20180104,BR,1
20180102,BR,1
20180104,AG,1
20180111,AL,1
20180108,AL,1
20180112,AM,1
20180106,AM,3
20180105,AM,1
20180103,AM,2
20180111,AO,1
20180107,AO,1
20180103,AO,1
20180102,AO,1
20180112,AR,5
20180111,AR,3
20180110,AR,3
20180109,AR,6
20180108,AR,6
20180107,AR,8
20180106,AR,5
20180105,AR,6
20180104,AR,8
20180103,AR,4
20180102,AR,5
20180101,AR,5
20180112,AT,45
20180111,AT,34
20180110,AT,24
20180109,AT,29
20180108,AT,38
20180107,AT,38
20180106,AT,33
20180105,AT,31
20180104,AT,16
20180103,AT,23
20180102,AT,26
20180101,AT,11
20180112,AU,43
20180111,AU,34
20180110,AU,42
20180109,AU,42
20180108,AU,51
20180107,AU,49
20180106,AU,48
20180105,AU,37
20180104,AU,43
20180103,AU,42
20180102,AU,43
20180101,AU,37
20180112,BR,3
20180111,BR,4
20180110,BR,5
20180109,BR,1
20180108,BR,3
20180106,BR,1
20180104,BR,3
20180103,BR,2
20180102,BR,1
20180101,BR,1
20180112,BR,1
20180111,BR,2
20180108,BR,1
20180107,BR,1
20180106,BR,1
20180105,BR,2
20180104,BR,1
20180103,BR,2
20180102,BR,1
20180104,BR,1
20180103,BR,1
20180112,BR,1
20180111,BR,2
20180110,BR,3
20180109,BR,1
20180108,BR,2
20180106,BR,4
20180103,BR,3
20180112,BR,21
20180111,BR,23
20180110,BR,8
20180109,BR,11
20180108,BR,15
20180107,BR,18
20180106,BR,21
20180105,BR,21
20180104,BR,13
20180103,BR,12
20180102,BR,22
20180101,BR,6
20180112,BR,1
20180112,BR,4
20180111,BR,6
20180110,BR,5
20180109,BR,7
20180108,BR,5
20180107,BR,4
20180106,BR,3
20180105,BR,3
20180104,BR,6
20180103,BR,5
20180102,BR,3
20180101,BR,4
20180109,BR,2
20180104,BR,1
20180102,BR,1
20180106,BR,1
20180104,BR,1
20180103,BR,1
20180112,BO,1
20180110,BO,1
20180109,BO,1
20180107,BO,1
20180105,BO,1
20180103,BO,2
20180101,BO,2
20180112,BR,116
20180111,BR,78
20180110,BR,82
20180109,BR,77
20180108,BR,102
20180107,BR,109
20180106,BR,100
20180105,BR,90
20180104,BR,89
20180103,BR,73
20180102,BR,88
20180101,BR,58
20180109,BS,2
20180107,BS,1
20180103,BS,1
20180104,BW,1
20180112,BY,16
20180111,BY,16
20180110,BY,6
20180109,BY,6
20180108,BY,8
20180107,BY,12
20180106,BY,12
20180105,BY,12
20180104,BY,8
20180103,BY,9
20180102,BY,7
20180101,BY,3
20180112,CA,80
20180111,CA,79
20180110,CA,53
20180109,CA,65
20180108,CA,66
20180107,CA,74
20180106,CA,81
20180105,CA,76
20180104,CA,53
20180103,CA,50
20180102,CA,1
20180102,CA,53
20180102,CA,1
20180101,CA,40
20180101,CD,1
20180104,CG,1
20180103,CG,1
20180101,CG,1
20180112,CH,40
20180111,CH,45
20180110,CH,27
20180109,CH,34
20180108,CH,29
20180107,CH,35
20180106,CH,30
20180105,CH,48
20180104,CH,39
20180103,CH,26
20180102,CH,32
20180101,CH,15
20180112,CI,1
20180109,CI,1
20180108,CI,1
20180107,CI,1
20180111,CL,3
20180110,CL,4
20180109,CL,2
20180108,CL,7
20180107,CL,9
20180106,CL,5
20180105,CL,4
20180104,CL,6
20180103,CL,3
20180102,CL,4
20180101,CL,1
20180111,CM,1
20180109,CM,1
20180106,CM,1
20180103,CM,2
20180112,CN,3
20180111,CN,6
20180110,CN,7
20180109,CN,11
20180108,CN,8
20180107,CN,8
20180106,CN,10
20180105,CN,11
20180104,CN,12
20180103,CN,6
20180102,CN,8
20180101,CN,7
20180112,CO,8
20180111,CO,4
20180110,CO,6
20180109,CO,12
20180108,CO,10
20180107,CO,5
20180106,CO,7
20180105,CO,11
20180104,CO,4
20180103,CO,5
20180102,CO,2
20180101,CO,11
20180112,CR,1
20180111,CR,1
20180110,CR,1
20180109,CR,1
20180108,CR,4
20180107,CR,1
20180106,CR,2
20180105,CR,1
20180104,CR,4
20180103,CR,2
20180101,CR,2
20180112,CY,2
20180107,CY,1
20180106,CY,1
20180104,CY,2
20180103,CY,1
20180102,CY,1
20180101,CY,1
20180112,CZ,32
20180111,CZ,46
20180110,CZ,16
20180109,CZ,21
20180108,CZ,45
20180107,CZ,81
20180106,CZ,37
20180105,CZ,30
20180104,CZ,33
20180103,CZ,27
20180102,CZ,32
20180101,CZ,21
20180112,DE,269
20180111,DE,268
20180110,DE,209
20180109,DE,203
20180108,DE,287
20180107,DE,276
20180106,DE,267
20180105,DE,247
20180104,DE,222
20180103,DE,210
20180102,DE,182
20180101,DE,171
20180112,DK,5
20180111,DK,4
20180110,DK,6
20180109,DK,3
20180108,DK,5
20180107,DK,8
20180106,DK,4
20180105,DK,8
20180104,DK,4
20180103,DK,5
20180102,DK,6
20180101,DK,2
20180112,DO,2
20180111,DO,1
20180110,DO,1
20180109,DO,2
20180108,DO,1
20180107,DO,4
20180104,DO,1
20180101,DO,3
20180112,DZ,1
20180110,DZ,1
20180109,DZ,1
20180108,DZ,3
20180107,DZ,3
20180105,DZ,5
20180104,DZ,2
20180103,DZ,3
20180102,DZ,3
20180101,DZ,2
20180112,EC,2
20180110,EC,1
20180109,EC,2
20180108,EC,2
20180107,EC,3
20180106,EC,2
20180105,EC,1
20180102,EC,1
20180101,EC,1
20180112,EE,6
20180111,EE,7
20180110,EE,2
20180109,EE,9
20180108,EE,4
20180107,EE,4
20180106,EE,2
20180105,EE,3
20180104,EE,1
20180103,EE,1
20180102,EE,2
20180101,EE,2
20180112,EG,8
20180111,EG,4
20180110,EG,4
20180109,EG,9
20180108,EG,5
20180107,EG,9
20180106,EG,5
20180105,EG,5
20180104,EG,9
20180103,EG,5
20180102,EG,7
20180101,EG,2
20180112,ES,68
20180111,ES,59
20180110,ES,47
20180109,ES,69
20180108,ES,56
20180107,ES,74
20180106,ES,91
20180105,ES,53
20180104,ES,90
20180103,ES,173
20180102,ES,41
20180101,ES,37
20180109,ET,1
20180107,ET,1
20180106,ET,1
20180112,FI,18
20180111,FI,11
20180110,FI,10
20180109,FI,11
20180108,FI,12
20180107,FI,12
20180106,FI,9
20180105,FI,14
20180104,FI,12
20180103,FI,9
20180102,FI,7
20180101,FI,2
20180105,FJ,1
20180112,FR,65
20180111,FR,61
20180110,FR,52
20180109,FR,34
20180108,FR,56
20180107,FR,40
20180106,FR,74
20180105,FR,88
20180104,FR,81
20180103,FR,65
20180102,FR,69
20180101,FR,57
20180112,GB,130
20180111,GB,145
20180110,GB,146
20180109,GB,118
20180108,GB,126
20180107,GB,115
20180106,GB,121
20180105,GB,128
20180104,GB,128
20180103,GB,111
20180102,GB,117
20180101,GB,97
20180112,GE,1
20180111,GE,1
20180110,GE,1
20180109,GE,2
20180108,GE,2
20180107,GE,1
20180106,GE,1
20180104,GE,1
20180101,GF,1
20180112,GH,2
20180111,GH,1
20180110,GH,1
20180104,GH,1
20180110,GI,1
20180105,GI,1
20180111,GL,1
20180105,GN,1
20180112,GP,2
20180108,GP,1
20180107,GP,1
20180106,GP,1
20180105,GP,2
20180103,GP,1
20180101,GP,1
20180112,GR,1
20180111,GR,2
20180110,GR,3
20180109,GR,2
20180108,GR,1
20180107,GR,2
20180106,GR,4
20180105,GR,4
20180104,GR,5
20180103,GR,2
20180102,GR,3
20180101,GR,5
20180112,GT,1
20180110,GT,2
20180107,GT,2
20180106,GT,1
20180105,GT,2
20180104,GT,1
20180103,GT,1
20180102,GT,2
20180101,GT,1
20180106,GU,1
20180112,GY,1
20180112,HK,7
20180111,HK,13
20180110,HK,10
20180109,HK,10
20180108,HK,15
20180107,HK,9
20180106,HK,16
20180105,HK,12
20180104,HK,24
20180103,HK,13
20180102,HK,14
20180101,HK,34
20180112,HN,1
20180106,HN,1
20180104,HN,1
20180112,HR,3
20180111,HR,2
20180110,HR,5
20180108,HR,5
20180107,HR,2
20180106,HR,6
20180105,HR,3
20180104,HR,2
20180103,HR,4
20180102,HR,3
